age_rating,film_length,meta_Data,name,occurrence,plot,rating,release_year
PG-13,2h 22m,,Forrest Gump,,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,1994
PG,1h 30m,,Shrek,,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.9,2001
PG-13,2h 24m,,Transformers,,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",7.1,2007
R,3h 22m,,The Godfather Part II,,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,1974
Approved,1h 48m,,On the Waterfront,,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",8.1,1954
Approved,1h 50m,,Sunset Boulevard,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,8.4,1950
R,2h 16m,,Vanilla Sky,,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,6.9,2001
R,2h 16m,,The Matrix,,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,1999
R,2h 18m,,Shutter Island,,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,8.2,2010
NC-17,1h 42m,,Requiem for a Dream,,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,8.3,2000
R,1h 29m,,Relic,,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",6.0,2020
TV-14,1h 33m,,His House,,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4,2020
R,1h 35m,,Lost Girls,,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",6.2,2020
PG-13,1h 27m,,Gretel & Hansel,,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",5.5,2020
R,1h 42m,,Good Time,,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",7.3,2017
PG,1h 56m,,Back to the Future,,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,1985
G,2h 52m,,The Sound of Music,,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,1965
Approved,1h 36m,,12 Angry Men,,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,9.0,1957
Approved,2h 33m,,West Side Story,,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",7.6,1961
G,2h 29m,,2001: A Space Odyssey,,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",8.3,1968
R,1h 48m,,Black Swan,,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",8.0,2010
R,2h,,Slumdog Millionaire,,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.",8.0,2008
PG-13,2h 26m,,A.I. Artificial Intelligence,,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",7.2,2001
PG,1h 43m,,The Truman Show,,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,1998
PG-13,1h 56m,,Arrival,,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial visitors.",7.9,2016
R,1h 59m,,The Lobster,,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",7.1,2015
R,1h 59m,,Birdman or (The Unexpected Virtue of Ignorance),,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",7.7,2014
R,2h 6m,,Her,,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",8.0,2013
R,1h 58m,,The Silence of the Lambs,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,1991
R,2h 10m,,Chinatown,,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",8.1,1974
PG,2h 41m,,The Bridge on the River Kwai,,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",8.1,1957
PG-13,1h 59m,,Sweet November,,"A workaholic executive, and an unconventional woman agree to a personal relationship for a short period. In this short period she changes his life.",6.7,2001
PG-13,2h 7m,,Indiana Jones and the Last Crusade,,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",8.2,1989
R,2h 33m,,Inglourious Basterds,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.4,2009
PG-13,2h 7m,,Moulin Rouge!,,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,7.6,2001
PG-13,1h 49m,,Fantasy Island,,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9,2020
R,2h 4m,,The Invisible Man,,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,2020
TV-MA,1h 47m,,All the Bright Places,,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",6.6,2020
